# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
166.993644, 6.568629, 0.174207, 996.300000
167.146971, 6.586058, 0.174361, 996.400000
167.299659, 6.603502, 0.174514, 996.500000
167.452743, 6.620961, 0.174667, 996.600000
167.605827, 6.638435, 0.174821, 996.700000
167.758325, 6.655925, 0.174974, 996.800000
167.910448, 6.673430, 0.175126, 996.900000
168.062945, 6.690951, 0.175279, 997.000000
168.215444, 6.708486, 0.175432, 997.100000
168.367544, 6.726037, 0.175585, 997.200000
168.520199, 6.743604, 0.175738, 997.300000
168.671483, 6.761185, 0.175890, 997.400000
168.823672, 6.778782, 0.176042, 997.500000
168.974505, 6.796394, 0.176193, 997.600000
169.126246, 6.814021, 0.176345, 997.700000
169.277449, 6.831663, 0.176497, 997.800000
169.428515, 6.849320, 0.176648, 997.900000
169.579792, 6.866993, 0.176800, 998.000000
169.731155, 6.884681, 0.176952, 998.100000
169.881717, 6.902383, 0.177103, 998.200000
170.032381, 6.920101, 0.177254, 998.300000
170.182492, 6.937834, 0.177404, 998.400000
170.332944, 6.955582, 0.177554, 998.500000
170.483612, 6.973345, 0.177706, 998.600000
170.633943, 6.991123, 0.177856, 998.700000
170.783883, 7.008917, 0.178006, 998.800000
170.933278, 7.026725, 0.178156, 998.900000
171.083123, 7.044548, 0.178306, 999.000000
